7124, 32676
1821, 32548
2069, 32522
31545, 32514
2389, 32315
20236, 32143
3009, 32120
12348, 32010
28795, 31623
11853, 31390
18988, 31189
15616, 31100
11551, 31045
1677, 30969
24013, 30861
9769, 30706
16929, 30618
31095, 30591
15024, 30547
1079, 30366
20144, 30039
26214, 29921
19302, 29616
18016, 29509
12210, 29360
7535, 29370
10680, 29296
30468, 28883
14044, 28778
4476, 28596
29955, 28473
1104, 28014
1611, 27996
21169, 27907
31305, 27825
12796, 27763
29267, 27555
8541, 27432
31343, 27362
19285, 27264
22368, 27217
20870, 27116
12510, 27019
26796, 26946
7596, 26933
25470, 26833
31650, 26700
5954, 25996
29945, 25873
27365, 25861
15642, 25482
30010, 25353
28402, 25343
27178, 25250
24530, 25176
423, 24972
12116, 24584
15606, 23657
26526, 23587
10506, 23492
20866, 23387
2629, 23379
1227, 23270
19333, 23080
10226, 22394
31506, 22357
3729, 22236
13061, 22023
3884, 21415
4706, 21301
25642, 21290
16389, 21138
16982, 21081
31218, 20464
29896, 20293
27210, 20214
10990, 20143
30003, 20112
26799, 20111
4621, 19351
6485, 19258
4745, 19228
25232, 19170
18120, 18620
13026, 18590
28887, 18575
26372, 18471
6258, 17996
4276, 17923
3726, 17858
25525, 17638
9118, 17544
15583, 17541
71, 17193
20901, 17092
1451, 16940
22602, 16888
26196, 16742
25357, 16666
3811, 16505
10905, 16476
13366, 16460
4541, 16408
3509, 16359
25423, 16318
29445, 16227
28192, 16060
11022, 15980
31749, 15843
11653, 15647
10303, 15617
14996, 15352
18126, 14500
31085, 14482
21364, 14141
6962, 14069
10150, 13990
31499, 12920
29328, 12691
23537, 12378
26184, 11639
24948, 11609
4089, 11518
21332, 11513
26535, 11520
8563, 11451
933, 11274
21464, 10915
6988, 10836
16615, 10692
31017, 10526
329, 10311
3772, 10222
4045, 10099
13337, 10088
11169, 9857
26269, 9647
16025, 9493
18936, 9385
10469, 9239
27830, 8857
10263, 8336
5815, 8269
9483, 8109
14808, 7579
15288, 7513
10185, 7168
19259, 7081
137, 7070
24010, 6997
4092, 6960
31641, 6841
6216, 6801
12335, 6546
1824, 6338
13112, 6053
8037, 5998
3067, 5556
28655, 5316
4442, 5233
30448, 5063
25574, 4997
26177, 4943
11154, 4718
1324, 4725
5258, 4613
24766, 4600
8646, 4565
5958, 4469
7892, 4456
21142, 4358
19468, 4049
19673, 4038
3811, 3993
16476, 3944
15056, 3705
13715, 3655
4908, 3326
26443, 2941
20604, 2672
1789, 2521
2998, 2380
9918, 2247
6266, 2180
30407, 2159
4761, 2055
3948, 2023
10207, 1869
31200, 1472
10475, 1449
555, 1373
12395, 1301
28175, 1215
15900, 1204
13009, 1187
15378, 590
20479, 504
16773, 498
23487, 127
5709, 67
